party_id,party_name,status,address_type,address_line1,address_line2,postcode,city,country,businessid_type,business_id_value,email,role,phone,create_date,update_date
P001,Acme Corporation Ltd,Active,Business,123 Main Street,Suite 100,10001,New York,USA,TAX_ID,12-3456789,contact@acmecorp.com,Lessee,+1-212-555-0101,2020-01-15,2023-06-20
P002,ACME CORPORATION LIMITED,Active,Mailing,123 Main St,Ste 100,10001,New York,USA,TAX_ID,123456789,info@acmecorp.com,Lessee,+12125550101,2020-02-10,2023-06-21
P003,Acme Corp,Active,Business,123 Main Street,Suite 100,10001,New York,USA,TAX_ID,12-3456789,contact@acmecorp.com,Lessor,+1-212-555-0101,2020-01-15,2023-07-15
P004,Global Tech Industries Inc,Active,Business,456 Oak Avenue,,94105,San Francisco,USA,EIN,98-7654321,admin@globaltech.com,Lessee,+1-415-555-0201,2019-05-20,2023-05-10
P005,Global Tech Industries,Active,Business,456 Oak Ave,Floor 3,94105,San Francisco,USA,EIN,987654321,contact@globaltech.com,Lessee,+14155550201,2019-06-15,2023-05-11
P006,GlobalTech Industries Inc.,Active,Mailing,456 Oak Avenue,3rd Floor,94105,San Francisco,USA,EIN,98-7654321,admin@globaltech.com,Supplier,+1-415-555-0201,2019-05-20,2023-08-01
P007,Blue Ocean Logistics,Active,Business,789 Harbor Blvd,,90210,Los Angeles,USA,TAX_ID,45-6789012,info@blueocean.com,Lessee,+1-310-555-0301,2021-03-10,2023-04-15
P008,Blue Ocean Logistics LLC,Active,Business,789 Harbor Boulevard,Building A,90210,Los Angeles,USA,TAX_ID,456789012,info@blueocean.com,Lessee,+1-310-555-0301,2021-03-12,2023-04-16
P009,Bleu Ocean Logistics,Active,Business,789 Harbour Blvd,,90210,Los Angeles,USA,TAX_ID,45-6789012,contact@blueocean.com,Lessor,+13105550301,2021-03-10,2023-07-20
P010,TechStart Solutions,Active,Business,321 Innovation Drive,,02101,Boston,USA,EIN,11-2233445,hello@techstart.com,Lessee,+1-617-555-0401,2022-01-05,2023-06-30
P011,TechStart Solutions Inc,Inactive,Business,321 Innovation Dr,,02101,Boston,USA,EIN,112233445,hello@techstart.com,Lessee,+16175550401,2022-01-05,2023-02-28
P012,Sunrise Manufacturing Co,Active,Business,555 Industrial Pkwy,,60601,Chicago,USA,TAX_ID,78-9012345,orders@sunrisemfg.com,Supplier,+1-312-555-0501,2020-07-14,2023-05-25
P013,Sunrise Manufacturing Company,Active,Mailing,555 Industrial Parkway,Unit 12,60601,Chicago,USA,TAX_ID,789012345,sales@sunrisemfg.com,Supplier,+13125550501,2020-07-15,2023-05-26
P014,Quantum Innovations Ltd,Active,Business,888 Research Road,,M5H2N2,Toronto,CAN,BN,123456789RC0001,info@quantuminno.ca,Lessee,+1-416-555-0601,2021-09-01,2023-07-10
P015,Quantum Innovations Limited,Active,Business,888 Research Rd,,M5H 2N2,Toronto,CAN,BN,123456789RC0001,contact@quantuminno.ca,Lessee,+14165550601,2021-09-01,2023-07-11
P016,Green Energy Solutions,Active,Business,222 Solar Street,,85001,Phoenix,USA,EIN,33-4455667,info@greenenergy.com,Lessor,+1-602-555-0701,2019-11-20,2023-06-15
P017,Green Energy Solutions Inc,Active,Business,222 Solar St,Suite 5,85001,Phoenix,USA,EIN,334455667,sales@greenenergy.com,Lessor,+16025550701,2019-11-21,2023-06-16
P018,Metro Transport Services,Active,Business,999 Transit Way,,30301,Atlanta,USA,TAX_ID,55-6677889,dispatch@metrotrans.com,Lessee,+1-404-555-0801,2020-04-10,2023-08-05
P019,Metro Transportation Services,Active,Business,999 Transit Way,Bay 3,30301,Atlanta,USA,TAX_ID,556677889,info@metrotrans.com,Lessee,+14045550801,2020-04-11,2023-08-06
P020,Premier Financial Group,Active,Business,777 Wall Street,,10005,New York,USA,EIN,99-8877665,contact@premierfinancial.com,Lessor,+1-212-555-0901,2018-06-15,2023-05-20
P021,Premier Financial Group LLC,Active,Mailing,777 Wall St,20th Floor,10005,New York,USA,EIN,998877665,info@premierfinancial.com,Lessor,+12125550901,2018-06-15,2023-05-21
P022,Diamond Retail Chain,Active,Business,444 Commerce Plaza,,75201,Dallas,USA,TAX_ID,22-3344556,corporate@diamondretail.com,Lessee,+1-214-555-1001,2021-02-20,2023-07-25
P023,Diamond Retail Chains Inc,Active,Business,444 Commerce Plz,,75201,Dallas,USA,TAX_ID,223344556,stores@diamondretail.com,Lessee,+12145551001,2021-02-21,2023-07-26
P024,Alpine Construction,Active,Business,666 Builder Road,,80202,Denver,USA,EIN,44-5566778,projects@alpineconst.com,Supplier,+1-303-555-1101,2020-08-12,2023-06-10
P025,Alpine Construction LLC,Active,Business,666 Builder Rd,Office 2,80202,Denver,USA,EIN,445566778,bids@alpineconst.com,Supplier,+13035551101,2020-08-13,2023-06-11
P026,Coastal Shipping Ltd,Active,Business,111 Dock Street,,98101,Seattle,USA,TAX_ID,66-7788990,freight@coastalship.com,Lessee,+1-206-555-1201,2019-12-05,2023-08-10
P027,Coastal Shipping Limited,Active,Business,111 Dock St,Pier 7,98101,Seattle,USA,TAX_ID,667788990,logistics@coastalship.com,Lessee,+12065551201,2019-12-06,2023-08-11
P028,Nexus Technology Partners,Active,Business,333 Silicon Valley Blvd,,94025,Menlo Park,USA,EIN,88-9900112,partnerships@nexustech.com,Lessor,+1-650-555-1301,2022-03-15,2023-07-30
P029,Nexus Tech Partners Inc,Active,Business,333 Silicon Valley Boulevard,,94025,Menlo Park,USA,EIN,889900112,info@nexustech.com,Lessor,+16505551301,2022-03-16,2023-07-31
P030,Urban Development Corp,Active,Business,888 Skyline Drive,,33101,Miami,USA,TAX_ID,11-2244668,development@urbancorp.com,Lessee,+1-305-555-1401,2021-07-20,2023-06-25
P031,Urban Development Corporation,Active,Mailing,888 Skyline Dr,Tower B,33101,Miami,USA,TAX_ID,112244668,projects@urbancorp.com,Lessee,+13055551401,2021-07-21,2023-06-26
P032,Precision Medical Supplies,Active,Business,222 Healthcare Way,,19101,Philadelphia,USA,EIN,77-8899001,orders@precisionmed.com,Supplier,+1-215-555-1501,2020-10-08,2023-05-30
P033,Precision Medical Supply Co,Active,Business,222 Healthcare Wy,,19101,Philadelphia,USA,EIN,778899001,sales@precisionmed.com,Supplier,+12155551501,2020-10-09,2023-05-31
P034,Stellar Communications Inc,Active,Business,999 Broadcast Lane,,90001,Los Angeles,USA,TAX_ID,33-5577991,media@stellarcomm.com,Lessee,+1-323-555-1601,2019-08-25,2023-07-15
P035,Stellar Communications,Active,Business,999 Broadcast Ln,Studio 4,90001,Los Angeles,USA,TAX_ID,335577991,production@stellarcomm.com,Lessee,+13235551601,2019-08-26,2023-07-16
P036,Horizon Aerospace Ltd,Active,Business,777 Aviation Pkwy,,98108,Seattle,USA,EIN,99-0011223,engineering@horizonaero.com,Lessor,+1-206-555-1701,2018-04-12,2023-08-20
P037,Horizon Aerospace Limited,Active,Business,777 Aviation Parkway,Hangar 5,98108,Seattle,USA,EIN,990011223,contracts@horizonaero.com,Lessor,+12065551701,2018-04-12,2023-08-21
P038,Velocity Auto Group,Active,Business,555 Motorway Drive,,48201,Detroit,USA,TAX_ID,44-6688002,sales@velocityauto.com,Lessee,+1-313-555-1801,2021-11-10,2023-06-05
P039,Velocity Automotive Group,Active,Business,555 Motorway Dr,,48201,Detroit,USA,TAX_ID,446688002,info@velocityauto.com,Lessee,+13135551801,2021-11-11,2023-06-06
P040,Pacific Logistics Services,Active,Business,444 Port Boulevard,,92101,San Diego,USA,EIN,55-7799113,shipping@pacificlog.com,Supplier,+1-619-555-1901,2020-05-18,2023-07-08
P041,Pacific Logistics Services Inc,Active,Mailing,444 Port Blvd,Warehouse 8,92101,San Diego,USA,EIN,557799113,warehouse@pacificlog.com,Supplier,+16195551901,2020-05-19,2023-07-09
P042,Evergreen Hospitality Group,Active,Business,123 Resort Road,,89101,Las Vegas,USA,TAX_ID,66-8800224,reservations@evergreenhosp.com,Lessee,+1-702-555-2001,2019-09-14,2023-05-15
P043,Evergreen Hospitality Grp,Active,Business,123 Resort Rd,Building C,89101,Las Vegas,USA,TAX_ID,668800224,hotels@evergreenhosp.com,Lessee,+17025552001,2019-09-15,2023-05-16
P044,Titan Manufacturing Industries,Active,Business,888 Factory Street,,44101,Cleveland,USA,EIN,77-9911335,production@titanmfg.com,Supplier,+1-216-555-2101,2021-01-22,2023-08-12
P045,Titan Manufacturing Ind,Active,Business,888 Factory St,Plant 2,44101,Cleveland,USA,EIN,779911335,operations@titanmfg.com,Supplier,+12165552101,2021-01-23,2023-08-13
P046,Crown Property Management,Active,Business,333 Realty Plaza,,77001,Houston,USA,TAX_ID,88-0022446,leasing@crownprop.com,Lessor,+1-713-555-2201,2020-12-05,2023-06-18
P047,Crown Property Mgmt LLC,Active,Business,333 Realty Plz,Suite 15,77001,Houston,USA,TAX_ID,880022446,properties@crownprop.com,Lessor,+17135552201,2020-12-06,2023-06-19
P048,Innovation Software Solutions,Active,Business,222 Tech Park Drive,,78701,Austin,USA,EIN,99-1133557,support@innovationsw.com,Lessee,+1-512-555-2301,2022-02-28,2023-07-22
